Dash
Date,Open,High,Low,Close
Jul 12 2017,165.03,179.89,159.54,179.89
Jul 11 2017,173.63,180.37,159.99,165.73
Jul 10 2017,195.99,197.38,170.06,174.40
Jul 09 2017,209.64,212.48,195.64,195.64
Jul 08 2017,196.15,211.31,187.21,209.20
Jul 07 2017,212.72,213.08,194.80,196.46
Jul 06 2017,210.34,227.89,205.37,213.17
Jul 05 2017,183.05,212.66,181.06,209.48
Jul 04 2017,180.22,187.30,180.22,183.06
Jul 03 2017,173.37,182.58,171.91,180.79
Jul 02 2017,165.61,174.10,163.99,173.49
Jul 01 2017,181.66,182.29,165.63,165.71
Jun 30 2017,177.30,184.58,177.30,181.77
Jun 29 2017,183.17,184.48,176.72,177.17
Jun 28 2017,177.01,185.97,174.59,184.13
Jun 27 2017,162.89,176.02,153.94,176.02
Jun 26 2017,172.96,175.91,149.22,162.89
Jun 25 2017,182.35,183.43,169.30,172.88
Jun 24 2017,189.31,190.52,178.61,182.62
Jun 23 2017,177.03,193.47,177.03,189.26
Jun 22 2017,179.29,183.33,175.72,177.06
Jun 21 2017,187.77,188.09,175.04,178.81
Jun 20 2017,201.37,203.71,180.61,187.91
Jun 19 2017,193.21,208.42,192.88,201.26
Jun 18 2017,178.52,193.93,176.12,193.53
Jun 17 2017,166.21,183.85,166.16,178.13
Jun 16 2017,163.63,167.65,158.43,166.25
Jun 15 2017,163.12,166.05,143.32,163.35
Jun 14 2017,183.65,191.58,156.18,163.21
Jun 13 2017,171.27,183.97,171.27,183.97
Jun 12 2017,187.10,197.17,162.31,170.78
Jun 11 2017,151.99,200.12,151.99,188.27
Jun 10 2017,149.13,152.48,147.84,152.00
Jun 09 2017,144.94,149.69,144.94,148.93
Jun 08 2017,140.82,146.10,139.47,145.03
Jun 07 2017,145.25,153.76,138.17,140.36
Jun 06 2017,145.43,147.96,134.27,145.19
Jun 05 2017,143.41,145.86,142.00,144.92
Jun 04 2017,143.88,143.89,140.43,143.35
Jun 03 2017,145.28,148.42,142.80,144.29
Jun 02 2017,137.08,145.88,136.33,145.29
Jun 01 2017,136.47,147.94,131.64,136.08
May 31 2017,121.85,141.84,117.98,135.97
May 30 2017,117.17,127.00,115.40,121.13
May 29 2017,107.93,119.20,105.64,117.26
May 28 2017,100.42,115.58,100.42,108.14
May 27 2017,113.35,117.76,89.05,99.20
May 26 2017,118.61,139.46,110.03,112.94
May 25 2017,143.20,145.14,118.68,119.63
May 24 2017,139.10,157.09,139.10,144.63
May 23 2017,120.38,144.18,117.86,138.07
May 22 2017,101.67,146.80,96.29,120.73
May 21 2017,100.72,102.35,98.01,102.03
May 20 2017,98.83,105.87,98.69,100.77
May 19 2017,89.87,101.10,88.77,98.98
May 18 2017,83.21,89.80,83.21,89.73
May 17 2017,85.64,85.79,81.89,83.26
May 16 2017,91.68,91.68,85.09,85.59
May 15 2017,89.88,91.90,84.60,91.49
May 14 2017,89.56,90.97,88.53,89.80
May 13 2017,86.75,89.75,83.50,89.35
May 12 2017,91.80,92.43,85.88,86.80
May 11 2017,91.62,93.94,90.14,91.54
May 10 2017,92.89,97.19,89.82,91.52
May 09 2017,101.12,103.81,82.49,93.30
May 08 2017,106.55,107.04,95.46,101.10
May 07 2017,99.53,111.68,98.42,106.28
May 06 2017,99.18,101.57,97.44,99.76
May 05 2017,92.87,105.36,92.87,99.01
May 04 2017,90.12,96.70,90.06,92.80
May 03 2017,86.24,90.46,84.00,90.08
May 02 2017,87.91,89.42,83.40,86.24
May 01 2017,91.50,96.37,84.92,88.12
Apr 30 2017,94.21,97.13,88.80,91.55
Apr 29 2017,79.67,100.46,79.67,94.95
Apr 28 2017,78.02,80.93,77.32,79.49
Apr 27 2017,71.52,80.62,71.08,78.17
Apr 26 2017,72.04,72.23,70.68,71.53
Apr 25 2017,72.19,72.94,71.62,72.07
Apr 24 2017,68.93,72.22,68.93,72.20
Apr 23 2017,71.18,72.24,68.77,68.89
Apr 22 2017,70.85,72.52,70.35,71.22
Apr 21 2017,71.48,72.80,70.57,70.88
Apr 20 2017,72.18,72.74,71.03,71.45
Apr 19 2017,72.76,75.63,72.27,72.28
Apr 18 2017,75.63,76.22,71.08,72.83
Apr 17 2017,75.32,75.97,74.20,75.64
Apr 16 2017,75.07,76.76,74.48,75.34
Apr 15 2017,70.81,77.79,69.45,75.01
Apr 14 2017,72.61,73.54,68.54,70.77
Apr 13 2017,68.10,76.26,65.76,72.57
Apr 12 2017,60.71,68.48,59.15,68.00
Apr 11 2017,61.30,62.50,59.23,60.53
Apr 10 2017,64.73,65.40,60.06,61.31
Apr 09 2017,67.80,68.29,64.55,64.70
Apr 08 2017,66.08,68.89,65.50,67.75
Apr 07 2017,66.47,69.96,64.11,66.19
Apr 06 2017,74.45,74.45,64.28,66.53
Apr 05 2017,69.12,77.60,66.35,74.37
Apr 04 2017,63.42,71.84,57.89,69.07
Apr 03 2017,56.73,65.87,47.10,61.76
Apr 02 2017,68.26,71.20,54.95,57.07
Apr 01 2017,74.30,74.30,66.85,68.60
Mar 31 2017,79.51,81.75,67.66,74.91
Mar 30 2017,84.42,84.75,77.54,79.61
Mar 29 2017,87.82,88.04,83.12,84.40
Mar 28 2017,84.28,90.63,80.93,87.89
Mar 27 2017,93.63,93.98,78.89,85.66
Mar 26 2017,94.31,95.58,91.66,93.63
Mar 25 2017,96.98,99.42,91.47,94.33
Mar 24 2017,101.58,108.86,94.87,97.27
Mar 23 2017,101.26,103.43,98.97,101.43
Mar 22 2017,95.68,111.16,89.47,101.51
Mar 21 2017,99.91,104.21,90.85,95.38
Mar 20 2017,108.16,110.66,99.53,100.05
Mar 19 2017,107.55,113.92,98.71,108.23
Mar 18 2017,101.04,120.52,95.06,109.24
Mar 17 2017,89.56,100.04,81.95,99.14
Mar 16 2017,95.42,99.21,80.53,89.81
Mar 15 2017,89.06,101.76,85.78,95.09
Mar 14 2017,74.61,91.39,73.37,88.24
Mar 13 2017,76.96,81.03,70.36,74.61
Mar 12 2017,72.71,80.79,65.98,77.08
Mar 11 2017,50.40,74.11,50.15,72.93
Mar 10 2017,51.09,54.72,47.23,50.42
Mar 09 2017,42.24,53.38,41.65,51.06
Mar 08 2017,45.55,45.60,42.15,42.33
Mar 07 2017,46.57,46.92,44.14,45.68
Mar 06 2017,42.22,47.33,42.22,46.50
Mar 05 2017,43.14,44.82,39.68,42.31
Mar 04 2017,47.17,48.81,43.35,43.38
Mar 03 2017,44.04,51.40,38.54,47.38
Mar 02 2017,42.47,58.90,37.30,42.44
Mar 01 2017,32.62,46.75,32.33,42.54
Feb 28 2017,28.24,33.38,27.95,32.51
Feb 27 2017,28.10,28.64,27.47,28.18
Feb 26 2017,26.67,28.23,25.44,28.11
Feb 25 2017,26.23,27.11,23.61,26.76
Feb 24 2017,25.05,29.38,23.79,26.20
Feb 23 2017,22.09,25.23,22.09,25.22
Feb 22 2017,21.24,22.19,20.99,22.12
Feb 21 2017,21.60,22.10,20.45,21.25
Feb 20 2017,22.60,22.94,21.24,21.59
Feb 19 2017,21.46,23.73,21.44,22.55
Feb 18 2017,20.05,21.53,20.05,21.41
Feb 17 2017,19.47,20.15,19.19,20.00
Feb 16 2017,19.64,19.81,19.14,19.52
Feb 15 2017,18.10,19.66,17.70,19.63
Feb 14 2017,16.85,18.37,16.80,18.15
Feb 13 2017,16.88,17.05,16.63,16.88
Feb 12 2017,17.15,17.15,16.83,16.91
Feb 11 2017,16.69,17.22,16.60,17.15
Feb 10 2017,16.58,16.89,15.84,16.67
Feb 09 2017,17.34,17.60,15.69,16.58
Feb 08 2017,17.14,17.40,16.85,17.35
Feb 07 2017,17.11,17.51,17.04,17.14
Feb 06 2017,17.07,17.24,16.70,17.12
Feb 05 2017,17.54,17.67,16.84,17.06
Feb 04 2017,17.55,17.74,17.28,17.62
Feb 03 2017,16.31,17.61,16.31,17.52
Feb 02 2017,15.98,16.41,15.85,16.31
Feb 01 2017,16.05,16.24,15.65,16.03
Jan 31 2017,15.93,16.22,15.78,16.07
Jan 30 2017,15.50,16.03,15.50,15.96
Jan 29 2017,15.26,15.65,15.17,15.51
Jan 28 2017,15.33,15.36,15.07,15.27
Jan 27 2017,15.06,15.41,14.99,15.34
Jan 26 2017,14.49,15.05,14.43,15.04
Jan 25 2017,14.10,14.61,13.90,14.51
Jan 24 2017,15.11,15.11,13.91,14.09
Jan 23 2017,15.13,15.32,14.99,15.19
Jan 22 2017,15.00,15.52,14.96,15.11
Jan 21 2017,15.19,15.37,14.83,14.97
Jan 20 2017,15.14,15.48,14.83,15.16
Jan 19 2017,14.12,15.28,14.12,15.18
Jan 18 2017,14.25,14.30,13.48,14.06
Jan 17 2017,12.92,14.41,12.91,14.25
Jan 16 2017,12.37,13.08,12.04,12.94
Jan 15 2017,12.08,12.55,12.02,12.39
Jan 14 2017,12.59,12.66,12.00,12.08
Jan 13 2017,12.21,12.66,11.50,12.59
Jan 12 2017,11.29,12.53,11.05,12.22
Jan 11 2017,12.47,12.80,10.83,11.30
Jan 10 2017,12.02,12.65,11.98,12.49
Jan 09 2017,12.57,12.60,12.03,12.09
Jan 08 2017,12.42,13.12,12.19,12.54
Jan 07 2017,11.96,12.59,11.39,12.44
Jan 06 2017,14.42,14.87,11.87,12.03
Jan 05 2017,16.58,17.11,12.94,14.38
Jan 04 2017,12.81,16.96,12.75,16.52
Jan 03 2017,11.81,13.05,11.81,12.78
Jan 02 2017,11.27,11.96,11.24,11.81
Jan 01 2017,11.21,11.49,10.96,11.23
Dec 31 2016,11.14,11.33,10.93,11.21
Dec 30 2016,10.83,11.44,10.72,11.11
Dec 29 2016,10.05,11.05,10.01,10.85
Dec 28 2016,9.73,10.36,9.72,10.07
Dec 27 2016,9.72,9.91,9.45,9.74
Dec 26 2016,9.98,10.17,9.70,9.70
Dec 25 2016,9.82,10.17,9.78,10.01
Dec 24 2016,9.59,10.02,9.59,9.83
