Mean,Standard Deviation
3.114369726391066e+34,1.6614304354118137e+35
5.609419675267166e+35,2.668841179502516e+36
1.0867549882851927e+37,4.786915108549373e+37
2.1833243271184232e+39,1.6127267668945276e+40
3.389421089615445e+40,2.1354185660518587e+41
5.6391642115455035e+41,3.0616575841197715e+42
1.0084428548107608e+43,4.860935231077244e+43
1.9406375006753543e+44,8.608130170454428e+44
2795431241641270.5,4213405790692194.5
1.2109600246367444e+16,2.1660451688162596e+16
1.24625252282651e+16,2.2284170534512716e+16
1.1705671066173928e+16,2.0899908552262504e+16
8.582388392277816e+21,1.7383118575309112e+22
2.0513517940244396e+23,3.6846536573712165e+23
6.720354180195803e+16,1.5208931761600656e+17
6.938990385855697e+16,1.576955661126894e+17
6.444667761002555e+16,1.4392566428905894e+17
5.185664350199625e+22,1.3765851259323064e+23
1.137109954788123e+24,2.5639080116629635e+24
7.174831502924764e+16,1.6417763147921373e+17
6.6580608003902904e+16,1.495458679213744e+17
5.375580047421189e+22,1.436683422265941e+23
1.1739383890464719e+24,2.6577832964062653e+24
6.195784426246022e+16,1.3715298787290118e+17
4.937586580032166e+22,1.2833164366564662e+23
1.0906591391087975e+24,2.4272256769656044e+24
4.389428941228157e+28,1.445273240995451e+29
8.76766090090388e+29,2.3157385620191696e+30
1.9243284360710193e+31,4.323066994932637e+31
4.521674477760965e+17,1.4477148260388116e+18
4.6838523151239424e+17,1.5034273235962842e+18
4.2972728829858406e+17,1.3540835262003412e+18
3.7438894895512556e+23,1.3719177072529935e+24
7.629613478939018e+24,2.4296781613130938e+25
4.8599736641690195e+17,1.5678237796739046e+18
4.455164017349437e+17,1.4100892606864963e+18
3.8913689049550285e+23,1.4297076880215806e+24
7.902326673153295e+24,2.5229777240058444e+25
4.0972117026899757e+17,1.2764676055070088e+18
3.531320998599442e+23,1.2669417776566649e+24
7.252218044565957e+24,2.272815989940641e+25
3.36775038041399e+29,1.4645358177307732e+30
6.311513928880535e+30,2.3015426615048096e+31
1.2875133134490492e+32,4.077916572198786e+32
5.051887482304132e+17,1.64305790241494e+18
4.626755692141684e+17,1.4749320291527895e+18
4.0528795945379054e+23,1.4980158037588443e+24
8.198437790223647e+24,2.630806648952945e+25
4.2511487986677e+17,1.3327295714171848e+18
3.674601776556334e+23,1.325376599677439e+24
7.517733797644561e+24,2.366602365129777e+25
3.512921342995042e+29,1.533924422040306e+30
6.559418908857886e+30,2.398363399205856e+31
1.3333749098634618e+32,4.234161391017856e+32
3.917757568425931e+17,1.2111113172884536e+18
3.344528342927503e+23,1.1826030233085786e+24
6.915689720813115e+24,2.1427726154567858e+25
3.150226154545987e+29,1.336769497359627e+30
5.95423150060199e+30,2.1256490262230804e+31
1.2240401152518555e+32,3.815126550036895e+32
3.2891135370036735e+35,1.7408082287318753e+36
5.671936644087228e+36,2.456574724688437e+37
1.0640989395280504e+38,3.861210996180472e+38
2.172937607588078e+39,6.844673077630653e+39
3.61305052590548e+18,1.5922278783708482e+19
3.750604486665859e+18,1.6500217285618733e+19
3.4055762300460134e+18,1.4841905999970333e+19
3.154055412900663e+24,1.5073765142147794e+25
6.080451595220601e+25,2.6688554313619738e+26
3.900611621279189e+18,1.7162955623711222e+19
3.539191480183336e+18,1.5421202464340613e+19
3.2826260732552373e+24,1.5653229266817213e+25
6.311422141521912e+25,2.765640386566305e+26
3.222156010208343e+18,1.3940831633535496e+19
2.951371205591126e+24,1.38747051368615e+25
5.732030463947591e+25,2.487841319756753e+26
2.959658582224686e+30,1.592265875201963e+31
5.304539709711885e+31,2.526788189011516e+32
1.0233560505421436e+33,4.473531722215783e+33
4.064779502535781e+18,1.7930869796526141e+19
3.685040667422147e+18,1.6086965821819703e+19
3.423886871931208e+24,1.633250575273568e+25
6.563274009989129e+25,2.876620526059543e+26
3.352160373932226e+18,1.452176988479499e+19
3.076031858525188e+24,1.4457926223015235e+25
5.956393753788657e+25,2.5848549494513968e+26
3.0886892087606806e+30,1.6606943181526308e+31
5.520376198483155e+31,2.6238613893736996e+32
1.0621403895788664e+33,4.635613806149946e+33
3.058987054864363e+18,1.3178151806275455e+19
2.7745056230226525e+24,1.2903434594157402e+25
5.4239637983064755e+25,2.336857665089913e+26
2.7482710516867074e+30,1.4489351092800454e+31
4.964283231114569e+31,2.3258893782222306e+32
9.648423348801733e+32,4.170246327889042e+33
2.9830756514802344e+36,1.8632097917550458e+37
4.974628842149449e+37,2.66941718262943e+38
8.921733942931442e+38,4.235647564018199e+39
1.7224523028438225e+40,7.498628049140886e+40
4.245111316499821e+18,1.883033743618841e+19
3.844808421323588e+18,1.685980252045665e+19
3.579701298293952e+24,1.7138743638755082e+25
6.838867881196084e+25,3.0052047503481395e+26
3.4941916441000346e+18,1.5190477753660789e+19
3.2131485725402846e+24,1.5143571818974839e+25
6.201270823416352e+25,2.6963425136471598e+26
3.231490876730962e+30,1.7425063738363034e+31
5.757489614359151e+31,2.7376469076544225e+32
1.1044261526832181e+33,4.821458103536258e+33
3.185664895485746e+18,1.37607198776451e+19
2.8956015828167754e+24,1.3490267630015744e+25
5.642269255076697e+25,2.4341466485245913e+26
2.873145401584394e+30,1.5183513861584924e+31
5.173561652394597e+31,2.4235944928753786e+32
1.0025182729725179e+33,4.3327134063592924e+33
3.12199956818007e+36,1.9556869698460565e+37
5.191192849839259e+37,2.784102259337597e+38
9.284078041861174e+38,4.398267669292586e+39
1.787581048194841e+40,7.770061318342877e+40
2.9129845834084613e+18,1.2523963255699565e+19
2.619059349207158e+24,1.210224518145908e+25
5.1498745530136995e+25,2.209054169283709e+26
2.566195238032653e+30,1.3359759577173995e+31
4.667335457875762e+31,2.1631461997245997e+32
9.130988092698125e+32,3.917258616708567e+33
2.7486057509418646e+36,1.6841449976229023e+37
4.619857968094674e+37,2.429265402764901e+38
8.350514763467967e+38,3.8990470110799667e+39
1.6241816024957428e+40,6.990479431649826e+40
3.2215017816469864e+42,2.361703620015549e+43
5.011522864160542e+43,3.124128573923713e+44
8.36176105342391e+44,4.475280261529211e+45
1.500632493950252e+46,7.100268433140324e+46
2.899329410310143e+47,1.2569531810265373e+48
3.310366152302421e+19,1.8559286392781324e+20
3.4387392997429064e+19,1.9182154027520868e+20
3.101295342206013e+19,1.729741924943822e+20
2.984744744075272e+25,1.7307377205210878e+26
5.5606798969358396e+26,3.109713643793158e+27
3.578946332334492e+19,1.9888958888658036e+20
3.2257428052669325e+19,1.791886417314338e+20
3.106255149877144e+25,1.790819509521953e+26
5.776024044887043e+26,3.214014343992653e+27
2.9173059935807103e+19,1.623721208628138e+20
2.7772130889713503e+25,1.5916155977352446e+26
5.20990830706866e+26,2.898312514404404e+27
2.8675687451996736e+31,1.7945451529652204e+32
5.011927915417245e+32,2.900363050510408e+33
9.341060985624697e+33,5.210525328110624e+34
3.73262730061726e+19,2.0698877082416418e+20
3.361812039540319e+19,1.8625873476867952e+20
3.239859603738919e+25,1.8604308649993262e+26
6.011201600138654e+26,3.3323677465453494e+27
3.038173334512811e+19,1.6858243008720752e+20
2.8947975638979152e+25,1.6516708778309577e+26
5.41867124384612e+26,3.0023775660954737e+27
2.990524817374439e+31,1.8637035011333236e+32
5.215740131711148e+32,3.001003789053609e+33
9.702305277106163e+33,5.385179780074543e+34
2.754383745829362e+19,1.5333851314363135e+20
2.5967489223675294e+25,1.4779591883304943e+26
4.901192646919918e+26,2.7206824798906725e+27
2.6493161662825353e+31,1.6299597347118307e+32
4.663800861125359e+32,2.667304573398223e+33
8.752539129884353e+33,4.856362978300662e+34
2.9362449879424356e+37,2.060408220160377e+38
4.8137511361191015e+38,3.007784334689461e+39
8.416184858488831e+39,4.860437149610508e+40
1.5692105614599955e+41,8.730611030903904e+41
3.901707589278571e+19,2.1636625797880742e+20
3.511121139178902e+19,1.9437893656551637e+20
3.387348604175475e+25,1.9421004865072e+26
6.268959510449526e+26,3.46798279915012e+27
3.170462567861111e+19,1.7566151194673277e+20
3.0242503406113458e+25,1.7215171656798156e+26
5.6469121200737646e+26,3.1207675502038193e+27
3.1266374583969663e+31,1.945599298387815e+32
5.4398213645908385e+32,3.117603313126787e+33
1.0096790426407533e+34,5.583361206004065e+34
2.8719688354911146e+19,1.5954984492380366e+20
2.7107721324952662e+25,1.5380956238881556e+26
5.1039532584855404e+26,2.8246798027932174e+27
2.7681035706038758e+31,1.6995955586840385e+32
4.861031997366399e+32,2.767905176655151e+33
9.102750225936206e+33,5.030627159208706e+34
3.069326205808204e+37,2.1531925996370778e+38
5.019973781126108e+38,3.1236868358173357e+39
8.758049676275644e+39,5.029017333030168e+40
1.6298113218899348e+41,9.023075473008236e+41
2.609274199097269e+19,1.4554318077671352e+20
2.4387099000563477e+25,1.383522945727287e+26
4.627803435266869e+26,2.5693201893353685e+27
2.4617924913109975e+31,1.4989982991861545e+32
4.3610573445121416e+32,2.4768924747533479e+33
8.234536155482876e+33,4.558755808770323e+34
2.693840117623703e+37,1.857798799510099e+38
4.447685096819172e+38,2.7320835342604774e+39
7.832206507108593e+39,4.470014289281534e+40
1.4704671672702517e+41,8.137277510869526e+41
3.198397275918859e+43,2.565224423654081e+44
4.927940371957458e+44,3.453971733919316e+45
8.080966316808266e+45,5.041279968578186e+46
1.4133142809402743e+47,8.145170488195476e+47
2.6362294011991688e+48,1.4628837490024647e+49
4.088454946043118e+19,2.2734221965828492e+20
3.6755700404200767e+19,2.0379895165763555e+20
3.5508391691545795e+25,2.039146900609876e+26
6.552522409913879e+26,3.6249951086591767e+27
3.3157705693266854e+19,1.838055123377661e+20
3.167336532311107e+25,1.8037292018162813e+26
5.8973411058212296e+26,3.256736613340911e+27
3.277960354535153e+31,2.0437833236486743e+32
5.687170513508375e+32,3.254393254151916e+33
1.0529117371751638e+34,5.810439504378905e+34
3.000786773050863e+19,1.666402872978884e+20
2.8364510057634838e+25,1.608229904379652e+26
5.325856836698812e+26,2.9432217137286964e+27
2.8997914912064446e+31,1.782393804662319e+32
5.078153831869441e+32,2.884901843522488e+33
9.485606469664605e+33,5.228873767721943e+34
3.2175825607210687e+37,2.2646054485382668e+38
5.248246300355256e+38,3.2609293141716846e+39
9.133884683832895e+39,5.224323183587224e+40
1.6959833251649569e+41,9.354928763008516e+41
2.7238351681339597e+19,1.51757378791876e+20
2.5494838569630937e+25,1.4437896201215867e+26
4.825060753928059e+26,2.673335578946998e+27
2.576814137440143e+31,1.5691233102413532e+32
4.552318267072464e+32,2.5776315143913526e+33
8.574683812752024e+33,4.732909244202034e+34
2.8222278235037874e+37,1.9522697662969703e+38
4.6469199039220685e+38,2.848792524016651e+39
8.163039284526565e+39,4.638534395178835e+40
1.5292182251941909e+41,8.429095672215127e+41
3.3520400413788106e+43,2.701685666473431e+44
5.1511383439909126e+44,3.609551248233948e+45
8.426849051516026e+45,5.235522009051472e+46
1.4706580411389079e+47,8.427555068547675e+47
2.7378927586424237e+48,1.5118579609981872e+49
2.4793231193008374e+19,1.3874006672324669e+20
2.2993802035991913e+25,1.303809178655299e+26
4.38428508640737e+26,2.4386974617641987e+27
2.299401514815288e+31,1.392770883333835e+32
4.095914955923581e+32,2.3186672871753836e+33
7.775771020996224e+33,4.305140545672059e+34
2.4879154871545405e+37,1.7002331856264766e+38
4.1331408992015284e+38,2.5126950892024003e+39
7.32432239309534e+39,4.151009885356864e+40
1.383548398833595e+41,7.63865521800203e+41
2.9155156222381354e+43,2.3105137901313082e+44
4.521391779644389e+44,3.11457838431427e+45
7.466972779325565e+45,4.579445341517925e+46
1.3153514474096638e+47,7.491126144023882e+47
2.4705529143295484e+48,1.3634813710400011e+49
3.690283299432466e+49,3.383965808203292e+50
5.367107991238296e+50,4.3009564272810293e+51
8.270773208151778e+51,5.790099713691473e+52
1.356603638161117e+53,8.449612055922167e+53
2.3734247404581578e+54,1.3649819955839691e+55
4.4289665707005944e+55,2.4511905303238717e+56
4.211116810198469e+18,7.006360402099194e+18
1.8803484704334356e+19,3.4508847887856046e+19
1.9336506656119017e+19,3.5433086160908804e+19
1.819087946352452e+19,3.3387401173404733e+19
1.336097166000381e+25,2.7077081232657395e+25
3.189875875814513e+26,5.880014674050074e+26
1.03649477014e+20,2.29992353103025e+20
1.069357119451166e+20,2.381343456238353e+20
9.94998907713431e+19,2.1815141039199224e+20
7.96286782673873e+25,2.0550795596313685e+26
1.7553145186108642e+27,3.8817762280216683e+27
1.1047630118204026e+20,2.4752844227534012e+20
1.027083581446452e+20,2.2630431304356718e+20
8.247754538887946e+25,2.1427212653814873e+26
1.8107049736951095e+27,4.018125346974751e+27
9.574795845094164e+19,2.0830728785121214e+20
7.591099248932541e+25,1.9196033043283706e+26
1.6853609852811711e+27,3.683564063886082e+27
6.695072953966048e+31,2.1403114264438302e+32
1.3472970170118873e+33,3.4596981866519367e+33
2.9730938057593956e+34,6.553105462949375e+34
6.86345988623831e+20,2.1306537461836134e+21
7.104795752510182e+20,2.211588272537478e+21
6.529318877496746e+20,1.9943540432491265e+21
5.6531486443494854e+26,2.0139376930926733e+27
1.1588070619089136e+28,3.5770595015290013e+28
7.366629877096257e+20,2.3050703532989004e+21
6.764332557455985e+20,2.075690958385799e+21
5.872137190892081e+26,2.098113179168864e+27
1.1994048168344145e+28,3.7125954222290733e+28
6.231069473804422e+20,1.881307052481827e+21
5.337725535373921e+26,1.8609861759862452e+27
1.1025943114408792e+28,3.348735900052203e+28
5.0567696359473786e+32,2.147879983831347e+33
9.534996134170265e+33,3.3792511465126456e+34
1.956713622813814e+35,6.0057750250604405e+35
7.651660254581706e+20,2.414200856333828e+21
7.019488224230559e+20,2.1697924984690133e+21
6.111735918560745e+26,2.1975245930879497e+27
1.2434430358942023e+28,3.8691227343741172e+28
6.460248209911904e+20,1.9629906917618937e+21
5.550530848842939e+26,1.9460889038157048e+27
1.142130347508318e+28,3.4849373569253874e+28
5.271846969944193e+32,2.249219116463053e+33
9.903219805875073e+33,3.520282671441665e+34
2.0250123305752665e+35,6.2327476085913296e+35
5.963230675146848e+20,1.7860576776031767e+21
5.0602485954290785e+26,1.7380631679159988e+27
1.052408610593117e+28,3.1593456171681574e+28
4.7349623420352415e+32,1.9615025717439452e+33
9.004711327875515e+33,3.1229834474825247e+34
1.862141199001245e+35,5.623304542270927e+35
4.9134016479623185e+38,2.5533457718953613e+39
8.52005548785834e+39,3.603193484768037e+40
1.6083883855260212e+41,5.670371223912184e+41
3.3043946231319905e+42,1.0084229772271186e+43
5.401364748792017e+21,2.325263213690279e+22
5.604325879210929e+21,2.409221062450407e+22
5.095032152921295e+21,2.16788103971859e+22
4.6972326492403437e+27,2.2021067554203484e+28
9.093581424324456e+28,3.897862785803402e+29
5.825513458028056e+21,2.5054691031270054e+22
5.292214404415885e+21,2.2520419903255605e+22
4.8866823545946566e+27,2.2864594619632746e+28
9.434453794680363e+28,4.0384651525889324e+29
4.824006403011096e+21,2.036566673730463e+22
4.398593854591919e+27,2.0274394685736672e+28
8.579052815544436e+28,3.634171960094466e+29
4.3923447104790725e+33,2.3277834425168605e+34
7.902341831600212e+34,3.691551816350292e+35
1.5310796686714536e+36,6.534128960725738e+36
6.067413798087833e+21,2.6169508712924056e+22
5.507302601641724e+21,2.348733175167212e+22
5.094696691525045e+27,2.385300286822039e+28
9.805891665846077e+28,4.199640770922187e+29
5.015888186697556e+21,2.120967732334955e+22
4.582312107185638e+27,2.112351491045206e+28
8.910229890095576e+28,3.775115897623572e+29
4.582243461852402e+33,2.4276651396417723e+34
8.220435518462054e+34,3.832865405640524e+35
1.5883313681282873e+36,6.769593076211499e+36
4.5827198299515414e+21,1.925376165996499e+22
4.137820388541347e+27,1.885906847530625e+28
8.12376200007656e+28,3.41414198443585e+29
4.0813805455063635e+33,2.118968186190608e+34
7.400934571647956e+34,3.398898572043479e+35
1.444654565729e+36,6.092320233563467e+36
4.414342036545301e+39,2.7262956380134653e+40
7.3844952090094435e+40,3.902661459535875e+41
1.3295194170665834e+42,6.188480243468154e+42
2.578056404532808e+43,1.0953573026001006e+44
6.332942154778295e+21,2.7474740176921383e+22
5.742749642680521e+21,2.4609312232504367e+22
5.323988408559157e+27,2.5025513541224067e+28
1.021206060883863e+29,4.3863141577417885e+29
5.225373215287521e+21,2.2180865826061176e+22
4.7842528066019286e+27,2.212127257078528e+28
9.271435112200748e+28,3.937034417192012e+29
4.792281966951969e+33,2.5470157151504397e+34
8.569658771688527e+34,3.998438003367014e+35
1.650708971975058e+36,7.039495880813976e+36
4.769716352337109e+21,2.010012950983453e+22
4.3163109835221045e+27,1.9713497004488324e+28
8.446045633992617e+28,3.555488229613655e+29
4.2651894580040474e+33,2.2203072556196945e+34
7.709414276769457e+34,3.5411526575572375e+35
1.5002796391053625e+36,6.328358646917599e+36
4.6186222641699865e+39,2.861649746790378e+40
7.70326659912688e+40,4.0700675195746185e+41
1.3829304089988869e+42,6.42521985962341e+42
2.67421826974064e+43,1.1347900979214458e+44
4.366655174224062e+21,1.8299664190556317e+22
3.908471840416464e+27,1.7691094995126925e+28
7.71837194702905e+28,3.227818197044279e+29
3.813384987434715e+33,1.9543634160079133e+34
6.963047543522736e+34,3.1617482044468913e+35
1.3681685293245922e+36,5.723638872920976e+36
4.069784799755151e+39,2.465314599796477e+40
6.862553066045069e+40,3.55278269156063e+41
1.2453322862840458e+42,5.69814189973877e+42
2.4328838406885856e+43,1.021333182962956e+44
4.756875196681962e+45,3.459056247732029e+46
7.417396747700768e+46,4.571451468812029e+47
1.241551676430235e+48,6.543082282590539e+48
2.236964300742102e+49,1.0374414667337257e+50
4.3412946273386e+50,1.8362469979516943e+51
4.895241860890353e+22,2.704245485108725e+23
5.083573199775911e+22,2.794686054639862e+23
4.588246813133406e+22,2.5205316806016284e+23
4.404524003374053e+28,2.5239817733545397e+29
8.224744746719313e+29,4.5312405783061293e+30
5.289175821132023e+22,2.8973014138463917e+23
4.770839725967253e+22,2.6107784693955694e+23
